method	kind	roc_auc_mean	roc_auc_std	average_precision_mean	average_precision_std	recall_at_target_fpr_mean	recall_at_target_fpr_std	realised_fpr_mean	realised_fpr_std
supervised model	supervised	0.9940908548332148	0.005694350517913611	0.8378040477146799	0.07601949341378146	0.9780701754385964	0.038576057362891436	0.059572239671954894	0.006904661891038426
single: phyloP100way	single_feature	0.9540554976365938	0.01997189886502269	0.25728477657298926	0.08236800030311967	0.7371345029239766	0.13533692054032043	0.04855732422294391	0.009883549669675723
isolation_forest	one_class	0.9430633402563293	0.01809250742511161	0.14475956571779452	0.048129595882082495	0.6479532163742691	0.09948398033838958	0.04776897639917485	0.010680587268394107
single: mlc_score	single_feature	0.9029743980608649	0.018250208153326772	0.07984641622695107	0.026829921300497488	0.40087719298245617	0.11473229493181547	0.051966389889718675	0.011036395354690672
single: cons_synonymous	single_feature	0.8049776534823694	0.0061119399282626545	0.027632304290066512	0.0010489775907270879	0.0	0.0	0.0	0.0
single: hom_rarity_soft	single_feature	0.8001655408560209	0.02550142242528799	0.029237557025128025	0.0023924460977621824	0.0	0.0	0.0	0.0
single: cons_noncoding_rna	single_feature	0.7092335163678181	0.03539123721237083	0.03258197776894066	0.006447036941106052	0.0	0.0	0.0	0.0
single: cons_missense	single_feature	0.6418682787580051	0.035939361355779235	0.018734595883499076	0.0029843845205684673	0.0	0.0	0.0	0.0
single: cons_intergenic	single_feature	0.543203285930283	0.003836836598980097	0.011977302824762504	0.0002814522759759518	0.0	0.0	0.0	0.0
single: cons_truncating	single_feature	0.5029208557131708	0.0012924503527498164	0.011016660876855502	0.00023844739127654792	0.0	0.0	0.0	0.0
