score_name	threshold_name	analysis_group	n_group	n_above_threshold	fraction_above_threshold	expected_neutral_fraction	fold_enrichment_vs_neutral_expectation
directional_mlc_only	T90	neutral_reference	8284	828	0.09995171414775471	0.1	0.999517141477547
directional_mlc_only	T90	unlabeled_or_other	41280	20951	0.5075339147286821	0.1	5.0753391472868215
directional_mlc_only	T90	article_pathogenic_posthoc	84	51	0.6071428571428571	0.1	6.07142857142857
directional_mlc_only	T90	disease_suspected_posthoc	56	24	0.42857142857142855	0.1	4.285714285714286
directional_mlc_only	T95	neutral_reference	8284	413	0.049855142443264125	0.05	0.9971028488652824
directional_mlc_only	T95	unlabeled_or_other	41280	15093	0.365625	0.05	7.312499999999999
directional_mlc_only	T95	article_pathogenic_posthoc	84	33	0.39285714285714285	0.05	7.857142857142857
directional_mlc_only	T95	disease_suspected_posthoc	56	17	0.30357142857142855	0.05	6.07142857142857
directional_mlc_only	T99	neutral_reference	8284	81	0.009777885079671656	0.01	0.9777885079671657
directional_mlc_only	T99	unlabeled_or_other	41280	4887	0.11838662790697674	0.01	11.838662790697674
directional_mlc_only	T99	article_pathogenic_posthoc	84	3	0.03571428571428571	0.01	3.571428571428571
directional_mlc_only	T99	disease_suspected_posthoc	56	3	0.05357142857142857	0.01	5.357142857142857
directional_population_only	T90	neutral_reference	8284	0	0.0	0.1	0.0
directional_population_only	T90	unlabeled_or_other	41280	0	0.0	0.1	0.0
directional_population_only	T90	article_pathogenic_posthoc	84	0	0.0	0.1	0.0
directional_population_only	T90	disease_suspected_posthoc	56	0	0.0	0.1	0.0
directional_population_only	T95	neutral_reference	8284	0	0.0	0.05	0.0
directional_population_only	T95	unlabeled_or_other	41280	0	0.0	0.05	0.0
directional_population_only	T95	article_pathogenic_posthoc	84	0	0.0	0.05	0.0
directional_population_only	T95	disease_suspected_posthoc	56	0	0.0	0.05	0.0
directional_population_only	T99	neutral_reference	8284	0	0.0	0.01	0.0
directional_population_only	T99	unlabeled_or_other	41280	0	0.0	0.01	0.0
directional_population_only	T99	article_pathogenic_posthoc	84	0	0.0	0.01	0.0
directional_population_only	T99	disease_suspected_posthoc	56	0	0.0	0.01	0.0
directional_combined	T90	neutral_reference	8284	829	0.10007242877836794	0.1	1.0007242877836793
directional_combined	T90	unlabeled_or_other	41280	27199	0.658890503875969	0.1	6.58890503875969
directional_combined	T90	article_pathogenic_posthoc	84	18	0.21428571428571427	0.1	2.142857142857143
directional_combined	T90	disease_suspected_posthoc	56	6	0.10714285714285714	0.1	1.0714285714285714
directional_combined	T95	neutral_reference	8284	414	0.049975857073877354	0.05	0.999517141477547
directional_combined	T95	unlabeled_or_other	41280	18330	0.4440406976744186	0.05	8.880813953488373
directional_combined	T95	article_pathogenic_posthoc	84	12	0.14285714285714285	0.05	2.8571428571428568
directional_combined	T95	disease_suspected_posthoc	56	5	0.08928571428571429	0.05	1.7857142857142856
directional_combined	T99	neutral_reference	8284	82	0.009898599710284886	0.01	0.9898599710284886
directional_combined	T99	unlabeled_or_other	41280	5188	0.1256782945736434	0.01	12.56782945736434
directional_combined	T99	article_pathogenic_posthoc	84	1	0.011904761904761904	0.01	1.1904761904761905
directional_combined	T99	disease_suspected_posthoc	56	1	0.017857142857142856	0.01	1.7857142857142856
