analysis_group	threshold_status	n_variants	threshold_name	n_group	fraction_within_group
article_pathogenic_posthoc	above_T90	76	T90	84	0.9047619047619048
article_pathogenic_posthoc	inside_T90	8	T90	84	0.09523809523809523
disease_suspected_posthoc	above_T90	31	T90	56	0.5535714285714286
disease_suspected_posthoc	inside_T90	25	T90	56	0.44642857142857145
neutral_reference	above_T90	848	T90	8284	0.10236600676001932
neutral_reference	inside_T90	7436	T90	8284	0.8976339932399807
unlabeled_or_other	above_T90	31552	T90	41280	0.7643410852713178
unlabeled_or_other	inside_T90	9728	T90	41280	0.23565891472868217
article_pathogenic_posthoc	above_T95	72	T95	84	0.8571428571428571
article_pathogenic_posthoc	inside_T95	12	T95	84	0.14285714285714285
disease_suspected_posthoc	above_T95	24	T95	56	0.42857142857142855
disease_suspected_posthoc	inside_T95	32	T95	56	0.5714285714285714
neutral_reference	above_T95	445	T95	8284	0.053718010622887495
neutral_reference	inside_T95	7839	T95	8284	0.9462819893771125
unlabeled_or_other	above_T95	27649	T95	41280	0.6697916666666667
unlabeled_or_other	inside_T95	13631	T95	41280	0.3302083333333333
article_pathogenic_posthoc	above_T99	53	T99	84	0.6309523809523809
article_pathogenic_posthoc	inside_T99	31	T99	84	0.36904761904761907
disease_suspected_posthoc	above_T99	14	T99	56	0.25
disease_suspected_posthoc	inside_T99	42	T99	56	0.75
neutral_reference	above_T99	74	T99	8284	0.008932882665379043
neutral_reference	inside_T99	8210	T99	8284	0.9910671173346209
unlabeled_or_other	above_T99	18267	T99	41280	0.44251453488372094
unlabeled_or_other	inside_T99	23013	T99	41280	0.557485465116279
