base_model	threshold_name	analysis_group	feature_set_baseline	feature_set_with_phyloP	n_group_baseline	n_above_threshold_baseline	n_above_threshold_with_phyloP	delta_n_above_threshold	fraction_above_threshold_baseline	fraction_above_threshold_with_phyloP	delta_fraction_above_threshold	fold_enrichment_vs_expected_baseline	fold_enrichment_vs_expected_with_phyloP	delta_fold_enrichment_vs_expected	relative_delta_fold_enrichment_percent	interpretation
isolation_forest	T95	neutral_reference	codon_position_baseline	codon_position_plus_phyloP30way	8284	424	436	12	0.05118300338000966	0.05263157894736842	0.0014485755673587578	1.0236600676001932	1.0526315789473684	0.028971511347175127	2.830188679245268	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_position_baseline	codon_position_plus_phyloP100way	8284	424	445	21	0.05118300338000966	0.053718010622887495	0.0025350072428778347	1.0236600676001932	1.0743602124577498	0.050700144857556584	4.95283018867923	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_position_baseline	codon_position_plus_phyloPSSREV30way	8284	424	446	22	0.05118300338000966	0.053838725253500724	0.002655721873491064	1.0236600676001932	1.0767745050700144	0.05311443746982114	5.188679245282999	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_position_baseline	codon_position_plus_all_phyloP	8284	424	428	4	0.05118300338000966	0.05166586190246258	0.00048285852245291694	1.0236600676001932	1.0333172380492515	0.009657170449058228	0.9433962264150749	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_position_baseline	codon_position_plus_phyloP30way	41280	21633	24979	3346	0.5240552325581396	0.6051114341085271	0.08105620155038751	10.481104651162791	12.10222868217054	1.6211240310077493	15.467110433134538	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_position_baseline	codon_position_plus_phyloP100way	41280	21633	27649	6016	0.5240552325581396	0.6697916666666667	0.1457364341085271	10.481104651162791	13.395833333333332	2.9147286821705407	27.80936532149954	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_position_baseline	codon_position_plus_phyloPSSREV30way	41280	21633	25388	3755	0.5240552325581396	0.6150193798449612	0.09096414728682167	10.481104651162791	12.300387596899224	1.8192829457364326	17.357740489067613	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_position_baseline	codon_position_plus_all_phyloP	41280	21633	27602	5969	0.5240552325581396	0.6686531007751938	0.14459786821705423	10.481104651162791	13.373062015503875	2.891957364341083	27.592104654925325	not_primary_target_group
isolation_forest	T95	article_pathogenic_posthoc	codon_position_baseline	codon_position_plus_phyloP30way	84	62	67	5	0.7380952380952381	0.7976190476190477	0.059523809523809534	14.761904761904763	15.952380952380953	1.1904761904761898	8.064516129032254	better_with_phyloP
isolation_forest	T95	article_pathogenic_posthoc	codon_position_baseline	codon_position_plus_phyloP100way	84	62	72	10	0.7380952380952381	0.8571428571428571	0.11904761904761896	14.761904761904763	17.142857142857142	2.3809523809523796	16.12903225806451	better_with_phyloP
isolation_forest	T95	article_pathogenic_posthoc	codon_position_baseline	codon_position_plus_phyloPSSREV30way	84	62	68	6	0.7380952380952381	0.8095238095238095	0.0714285714285714	14.761904761904763	16.19047619047619	1.428571428571427	9.677419354838698	better_with_phyloP
isolation_forest	T95	article_pathogenic_posthoc	codon_position_baseline	codon_position_plus_all_phyloP	84	62	73	11	0.7380952380952381	0.8690476190476191	0.13095238095238093	14.761904761904763	17.38095238095238	2.619047619047617	17.741935483870954	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_position_baseline	codon_position_plus_phyloP30way	56	22	22	0	0.39285714285714285	0.39285714285714285	0.0	7.857142857142857	7.857142857142857	0.0	0.0	no_change
isolation_forest	T95	disease_suspected_posthoc	codon_position_baseline	codon_position_plus_phyloP100way	56	22	24	2	0.39285714285714285	0.42857142857142855	0.0357142857142857	7.857142857142857	8.571428571428571	0.7142857142857144	9.090909090909092	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_position_baseline	codon_position_plus_phyloPSSREV30way	56	22	22	0	0.39285714285714285	0.39285714285714285	0.0	7.857142857142857	7.857142857142857	0.0	0.0	no_change
isolation_forest	T95	disease_suspected_posthoc	codon_position_baseline	codon_position_plus_all_phyloP	56	22	24	2	0.39285714285714285	0.42857142857142855	0.0357142857142857	7.857142857142857	8.571428571428571	0.7142857142857144	9.090909090909092	better_with_phyloP
