model_name	feature_set	base_model	threshold_name	analysis_group	n_group	n_above_threshold	fraction_above_threshold	expected_validation_neutral_fraction	fold_enrichment_vs_expected
codon_position_baseline__isolation_forest	codon_position_baseline	isolation_forest	T95	neutral_reference	8284	424	0.05118300338000966	0.05	1.0236600676001932
codon_position_baseline__isolation_forest	codon_position_baseline	isolation_forest	T95	unlabeled_or_other	41280	21633	0.5240552325581396	0.05	10.481104651162791
codon_position_baseline__isolation_forest	codon_position_baseline	isolation_forest	T95	article_pathogenic_posthoc	84	62	0.7380952380952381	0.05	14.761904761904763
codon_position_baseline__isolation_forest	codon_position_baseline	isolation_forest	T95	disease_suspected_posthoc	56	22	0.39285714285714285	0.05	7.857142857142857
codon_position_plus_phyloP30way__isolation_forest	codon_position_plus_phyloP30way	isolation_forest	T95	neutral_reference	8284	436	0.05263157894736842	0.05	1.0526315789473684
codon_position_plus_phyloP30way__isolation_forest	codon_position_plus_phyloP30way	isolation_forest	T95	unlabeled_or_other	41280	24979	0.6051114341085271	0.05	12.10222868217054
codon_position_plus_phyloP30way__isolation_forest	codon_position_plus_phyloP30way	isolation_forest	T95	article_pathogenic_posthoc	84	67	0.7976190476190477	0.05	15.952380952380953
codon_position_plus_phyloP30way__isolation_forest	codon_position_plus_phyloP30way	isolation_forest	T95	disease_suspected_posthoc	56	22	0.39285714285714285	0.05	7.857142857142857
codon_position_plus_phyloP100way__isolation_forest	codon_position_plus_phyloP100way	isolation_forest	T95	neutral_reference	8284	445	0.053718010622887495	0.05	1.0743602124577498
codon_position_plus_phyloP100way__isolation_forest	codon_position_plus_phyloP100way	isolation_forest	T95	unlabeled_or_other	41280	27649	0.6697916666666667	0.05	13.395833333333332
codon_position_plus_phyloP100way__isolation_forest	codon_position_plus_phyloP100way	isolation_forest	T95	article_pathogenic_posthoc	84	72	0.8571428571428571	0.05	17.142857142857142
codon_position_plus_phyloP100way__isolation_forest	codon_position_plus_phyloP100way	isolation_forest	T95	disease_suspected_posthoc	56	24	0.42857142857142855	0.05	8.571428571428571
codon_position_plus_phyloPSSREV30way__isolation_forest	codon_position_plus_phyloPSSREV30way	isolation_forest	T95	neutral_reference	8284	446	0.053838725253500724	0.05	1.0767745050700144
codon_position_plus_phyloPSSREV30way__isolation_forest	codon_position_plus_phyloPSSREV30way	isolation_forest	T95	unlabeled_or_other	41280	25388	0.6150193798449612	0.05	12.300387596899224
codon_position_plus_phyloPSSREV30way__isolation_forest	codon_position_plus_phyloPSSREV30way	isolation_forest	T95	article_pathogenic_posthoc	84	68	0.8095238095238095	0.05	16.19047619047619
codon_position_plus_phyloPSSREV30way__isolation_forest	codon_position_plus_phyloPSSREV30way	isolation_forest	T95	disease_suspected_posthoc	56	22	0.39285714285714285	0.05	7.857142857142857
codon_position_plus_all_phyloP__isolation_forest	codon_position_plus_all_phyloP	isolation_forest	T95	neutral_reference	8284	428	0.05166586190246258	0.05	1.0333172380492515
codon_position_plus_all_phyloP__isolation_forest	codon_position_plus_all_phyloP	isolation_forest	T95	unlabeled_or_other	41280	27602	0.6686531007751938	0.05	13.373062015503875
codon_position_plus_all_phyloP__isolation_forest	codon_position_plus_all_phyloP	isolation_forest	T95	article_pathogenic_posthoc	84	73	0.8690476190476191	0.05	17.38095238095238
codon_position_plus_all_phyloP__isolation_forest	codon_position_plus_all_phyloP	isolation_forest	T95	disease_suspected_posthoc	56	24	0.42857142857142855	0.05	8.571428571428571
