omitted_feature	random_state	full_threshold	reduced_threshold	mean_absolute_score_change	score_spearman	t95_flip_fraction_all	t95_flip_fraction_neutral_validation	t95_flip_fraction_unlabeled	above_t95_jaccard
mlc_score	42	0.09819958145422714	0.10390796522518841	0.02112665700263777	0.9618721343815884	0.07653307580878803	0.028971511347175277	0.08587693798449612	0.8767935222672065
rarity_soft	42	0.09819958145422714	0.10346070350100611	0.008950289607088859	0.995850894779384	0.019917914051183004	0.009657170449058426	0.021075581395348836	0.965921999242711
hom_rarity_soft	42	0.09819958145422714	0.1034698072395085	0.007526003413214374	0.9950849043009007	0.021607918879768227	0.009657170449058426	0.023013565891472867	0.9630101601515413
het_rarity_soft	42	0.09819958145422714	0.10800971637629064	0.015008383738741958	0.9932206273411648	0.039111540318686626	0.013520038628681796	0.043968023255813955	0.9352194341697491
no_homoplasmic_signal	42	0.09819958145422714	0.09960856170989063	0.011653161092663664	0.9859005865121503	0.06957186544342507	0.016417189763399325	0.08020833333333334	0.879554162312783
codon_pos1_any	42	0.09819958145422714	0.09734317526426356	0.01087691507259512	0.9917401358365853	0.052732174472879444	0.01931434089811685	0.059253875968992245	0.9109200285490943
codon_pos2_any	42	0.09819958145422714	0.09557388676707679	0.023899449871529966	0.8988571900397279	0.1003138580395944	0.04104297440849831	0.11170058139534884	0.8471817819597266
codon_pos3_any	42	0.09819958145422714	0.09512821068548699	0.012354379119949039	0.9848372347738807	0.03772332206663448	0.010622887493964268	0.04345930232558139	0.9369302701066299
phyloP100way	42	0.09819958145422714	0.11076158022070448	0.01601917847763891	0.9732733005480497	0.13588443586029295	0.016417189763399325	0.1596656976744186	0.7636808957312806
mlc_score	43	0.0973066288710484	0.10009779229820459	0.019297343548652555	0.9585303705492499	0.053194913890230164	0.028971511347175277	0.05806686046511628	0.9125834821133373
rarity_soft	43	0.0973066288710484	0.10380600430031067	0.00830854954633983	0.9949637303216848	0.025028166747143088	0.013520038628681796	0.026574612403100776	0.9577603476961734
hom_rarity_soft	43	0.0973066288710484	0.10457924410590441	0.007732896136156637	0.9927839535736188	0.026778528891034926	0.012554321583775953	0.028561046511627906	0.9547525156377482
het_rarity_soft	43	0.0973066288710484	0.10934834326753307	0.01103649917369353	0.9946191015904854	0.020682440045066794	0.008691453404152583	0.022044573643410854	0.9650637213254035
no_homoplasmic_signal	43	0.0973066288710484	0.09967649355899016	0.015571362877319759	0.9838020550187999	0.11405520682440046	0.01931434089811685	0.13323643410852712	0.8063799993169165
codon_pos1_any	43	0.0973066288710484	0.09900201544023118	0.013246618601921776	0.9841593348895582	0.0815829711894415	0.021245774987928536	0.0937984496124031	0.8646799706333845
codon_pos2_any	43	0.0973066288710484	0.09622084104740758	0.01809739270192319	0.9095281244473422	0.06798245614035088	0.04056011588604539	0.07340116279069768	0.8923439640615541
codon_pos3_any	43	0.0973066288710484	0.09507031588171716	0.011381388847046212	0.987441638221594	0.04082166425237405	0.013520038628681796	0.0469718992248062	0.9322582799145299
phyloP100way	43	0.0973066288710484	0.11226443761192378	0.015999100853210997	0.9733664107890921	0.1468895863511991	0.01545147271849348	0.1729893410852713	0.74946812161142
mlc_score	44	0.09465421380015099	0.10134619823361318	0.021500950888154926	0.9603330709488985	0.06558828263318847	0.028971511347175277	0.07291666666666667	0.8932302754396882
rarity_soft	44	0.09465421380015099	0.10748779865562164	0.011101365188697256	0.993965874091043	0.017885884435860294	0.010140028971511348	0.018168604651162792	0.9689378057302586
hom_rarity_soft	44	0.09465421380015099	0.10541669344526028	0.012769543343544031	0.9924348412351003	0.024746499275712215	0.010622887493964268	0.026598837209302326	0.9575408194967033
het_rarity_soft	44	0.09465421380015099	0.11206799711745524	0.0168294190347758	0.9931137735054321	0.027462578464509897	0.012554321583775953	0.029675387596899225	0.9529877733769588
no_homoplasmic_signal	44	0.09465421380015099	0.10015719166436748	0.011309070342901373	0.9821951221085907	0.07667390954450345	0.020280057943022695	0.08812984496124031	0.8659278803869833
codon_pos1_any	44	0.09465421380015099	0.09845101879798235	0.01459188926177914	0.9850068546083793	0.078786415580235	0.02221149203283438	0.09047965116279069	0.8657570875184258
codon_pos2_any	44	0.09465421380015099	0.09484461050219095	0.022489529566046752	0.9084518476378636	0.09427812650893289	0.03573153066151617	0.10525678294573644	0.8540914186075477
codon_pos3_any	44	0.09465421380015099	0.09190380738665332	0.01376093266066017	0.987108564353059	0.04556977305649445	0.012554321583775953	0.05254360465116279	0.9244521530302525
phyloP100way	44	0.09465421380015099	0.1125042781191603	0.013214255528013816	0.9775269342505595	0.13435538387252535	0.016900048285852245	0.15826065891472868	0.7639782285997031
