feature_panel	repeat	fold	model_seed	n_model_train	n_pathogenic_model_train	n_neutral_calibration	rf_threshold
current_all_9	1	1	20260811	5017	50	1657	0.009112110405822538
current_all_9	1	2	20260812	5017	50	1656	0.005947955975490115
current_all_9	1	3	20260813	5019	51	1656	0.012084854347332917
current_all_9	1	4	20260814	5017	50	1657	0.007657393222553779
current_all_9	1	5	20260815	5018	50	1657	0.008942617097091364
current_all_9	2	1	20261811	5017	50	1656	0.006867453940873243
current_all_9	2	2	20261812	5018	50	1656	0.010739963219304701
current_all_9	2	3	20261813	5019	51	1656	0.019712002258923094
current_all_9	2	4	20261814	5017	50	1657	0.006942374523965658
current_all_9	2	5	20261815	5018	50	1657	0.008728992341391318
current_all_9	3	1	20262811	5017	50	1657	0.006354347934883718
current_all_9	3	2	20262812	5017	50	1656	0.009870895250225248
current_all_9	3	3	20262813	5018	51	1657	0.007842669385349247
current_all_9	3	4	20262814	5017	50	1657	0.005913351120965846
current_all_9	3	5	20262815	5018	50	1657	0.007994606980783001
current_all_9	4	1	20263811	5017	50	1656	0.009742362323110727
current_all_9	4	2	20263812	5019	51	1656	0.008101097376247849
current_all_9	4	3	20263813	5018	50	1656	0.01080689509670786
current_all_9	4	4	20263814	5018	50	1656	0.006741521002378988
current_all_9	4	5	20263815	5019	50	1656	0.007875561410019645
current_all_9	5	1	20264811	5018	50	1656	0.006890911686277102
current_all_9	5	2	20264812	5017	50	1656	0.010034824817821076
current_all_9	5	3	20264813	5019	51	1656	0.00901075746739973
current_all_9	5	4	20264814	5018	50	1656	0.006922368842725808
current_all_9	5	5	20264815	5019	50	1656	0.009862045307033619
without_phyloP	1	1	20260911	5017	50	1657	0.03235499989695901
without_phyloP	1	2	20260912	5017	50	1656	0.03345164091512415
without_phyloP	1	3	20260913	5019	51	1656	0.044625785887431886
without_phyloP	1	4	20260914	5017	50	1657	0.026897592146460095
without_phyloP	1	5	20260915	5018	50	1657	0.046605266323852604
without_phyloP	2	1	20261911	5017	50	1656	0.04175510768655313
without_phyloP	2	2	20261912	5018	50	1656	0.053203640324871675
without_phyloP	2	3	20261913	5019	51	1656	0.09669151699618579
without_phyloP	2	4	20261914	5017	50	1657	0.06163780830563678
without_phyloP	2	5	20261915	5018	50	1657	0.02990395800051508
without_phyloP	3	1	20262911	5017	50	1657	0.04718546323707795
without_phyloP	3	2	20262912	5017	50	1656	0.04449334623837916
without_phyloP	3	3	20262913	5018	51	1657	0.03404262596422867
without_phyloP	3	4	20262914	5017	50	1657	0.03895444378228832
without_phyloP	3	5	20262915	5018	50	1657	0.051313843526372103
without_phyloP	4	1	20263911	5017	50	1656	0.03799382881678649
without_phyloP	4	2	20263912	5019	51	1656	0.03380890014907725
without_phyloP	4	3	20263913	5018	50	1656	0.0663576319763563
without_phyloP	4	4	20263914	5018	50	1656	0.04375563765095565
without_phyloP	4	5	20263915	5019	50	1656	0.06705967677809019
without_phyloP	5	1	20264911	5018	50	1656	0.04142706786386284
without_phyloP	5	2	20264912	5017	50	1656	0.06462640023287256
without_phyloP	5	3	20264913	5019	51	1656	0.049040616675178714
without_phyloP	5	4	20264914	5018	50	1656	0.053178303826900114
without_phyloP	5	5	20264915	5019	50	1656	0.03723741145306997
