feature_panel	metric	value	evaluation
current_all_9	roc_auc	0.9962416609155741	aggregated_out_of_fold
current_all_9	average_precision	0.7966496950460192	aggregated_out_of_fold
current_all_9	balanced_accuracy	0.9711007591442374	aggregated_out_of_fold
current_all_9	sensitivity	0.9880952380952381	aggregated_out_of_fold
current_all_9	specificity	0.9541062801932367	aggregated_out_of_fold
current_all_9	precision	0.17926565874730022	aggregated_out_of_fold
current_all_9	f1	0.30347349177330896	aggregated_out_of_fold
current_all_9	mcc	0.41083466860620443	aggregated_out_of_fold
without_phyloP	roc_auc	0.9611211755233495	aggregated_out_of_fold
without_phyloP	average_precision	0.284877810484515	aggregated_out_of_fold
without_phyloP	balanced_accuracy	0.874956866804693	aggregated_out_of_fold
without_phyloP	sensitivity	0.7976190476190477	aggregated_out_of_fold
without_phyloP	specificity	0.9522946859903382	aggregated_out_of_fold
without_phyloP	precision	0.14502164502164502	aggregated_out_of_fold
without_phyloP	f1	0.2454212454212454	aggregated_out_of_fold
without_phyloP	mcc	0.3273230717444606	aggregated_out_of_fold
