cohort	feature	n_variants	mean	sd	q25	median	q75
clean_known_neutral	mlc_score	8280	0.12210810628019325	0.22166628230576294	0.0	0.0	0.1529625
clean_known_neutral	rarity_soft	8280	4.222948518043645	1.3779037977024295	3.1843439661946533	4.047689082125635	6.0
clean_known_neutral	hom_rarity_soft	8280	4.243813607774884	1.394841004332132	3.1843439661946533	4.04769635269275	6.0
clean_known_neutral	het_rarity_soft	8280	5.191256710661302	0.7992558648533645	4.576550661698487	5.214493379045403	6.0
clean_known_neutral	no_homoplasmic_signal	8280	0.29818840579710143	0.4574902817590431	0.0	0.0	1.0
clean_known_neutral	codon_pos1_any	8280	0.14565217391304347	0.35277846966697285	0.0	0.0	0.0
clean_known_neutral	codon_pos2_any	8280	0.07753623188405798	0.26745654578072303	0.0	0.0	0.0
clean_known_neutral	codon_pos3_any	8280	0.6910628019323671	0.4620831021073699	0.0	1.0	1.0
clean_known_neutral	phyloP100way	8280	-7.402895099130434	6.133269259948107	-11.3673	-8.10094	-2.09491
clean_confirmed_pathogenic	mlc_score	84	0.5487086904761904	0.2569015325535933	0.40008	0.535095	0.7733875
clean_confirmed_pathogenic	rarity_soft	84	5.280029998681554	0.7696247079247724	4.713102865174651	5.214493379045403	6.0
clean_confirmed_pathogenic	hom_rarity_soft	84	5.806809733634647	0.5568410976694338	6.0	6.0	6.0
clean_confirmed_pathogenic	het_rarity_soft	84	5.311631483457529	0.7184379734372845	4.727675596401231	5.214493379045403	6.0
clean_confirmed_pathogenic	no_homoplasmic_signal	84	0.8690476190476191	0.33937440336141056	1.0	1.0	1.0
clean_confirmed_pathogenic	codon_pos1_any	84	0.42857142857142855	0.49784388818701336	0.0	0.0	1.0
clean_confirmed_pathogenic	codon_pos2_any	84	0.42857142857142855	0.49784388818701336	0.0	0.0	1.0
clean_confirmed_pathogenic	codon_pos3_any	84	0.14285714285714285	0.35202878930931464	0.0	0.0	0.0
clean_confirmed_pathogenic	phyloP100way	84	4.3214763523809525	3.1545159816358455	1.907925	5.14648	6.2767275
unlabeled_rf_neutral_like	mlc_score	4197	0.11526188706218728	0.18202381037958618	0.0	0.0	0.18348
unlabeled_rf_neutral_like	rarity_soft	4197	4.550111240245332	0.8516760218995806	3.969323382743532	4.4351282566786	4.95058941817747
unlabeled_rf_neutral_like	hom_rarity_soft	4197	4.563374062999212	0.8600224178851323	3.969323382743532	4.4351282566786	5.214493379045403
unlabeled_rf_neutral_like	het_rarity_soft	4197	5.41250033791223	0.6466625018040394	4.7876139443864885	6.0	6.0
unlabeled_rf_neutral_like	no_homoplasmic_signal	4197	0.18560876816773886	0.3888369551526771	0.0	0.0	0.0
unlabeled_rf_neutral_like	codon_pos1_any	4197	0.23969502025256134	0.4269481814840379	0.0	0.0	0.0
unlabeled_rf_neutral_like	codon_pos2_any	4197	0.08911126995472957	0.2849382323299394	0.0	0.0	0.0
unlabeled_rf_neutral_like	codon_pos3_any	4197	0.5484870145341911	0.49770275233435723	0.0	1.0	1.0
unlabeled_rf_neutral_like	phyloP100way	4197	-2.8608427563736	3.1017693020765806	-5.69899	-2.85338	-0.624441
unlabeled_rf_pathogenic_like	mlc_score	37083	0.5334724027182266	0.30065433688990795	0.28158000000000005	0.54913	0.79272
unlabeled_rf_pathogenic_like	rarity_soft	37083	5.8445329306644656	0.41629723065255536	6.0	6.0	6.0
unlabeled_rf_pathogenic_like	hom_rarity_soft	37083	5.923730944765485	0.30696400880902086	6.0	6.0	6.0
unlabeled_rf_pathogenic_like	het_rarity_soft	37083	5.884511342885171	0.3554099688359039	6.0	6.0	6.0
unlabeled_rf_pathogenic_like	no_homoplasmic_signal	37083	0.9360623466278348	0.2446451385866058	1.0	1.0	1.0
unlabeled_rf_pathogenic_like	codon_pos1_any	37083	0.3529649704716447	0.47789837716162253	0.0	0.0	1.0
unlabeled_rf_pathogenic_like	codon_pos2_any	37083	0.3854057115120136	0.4866975824177745	0.0	0.0	1.0
unlabeled_rf_pathogenic_like	codon_pos3_any	37083	0.19669390286654262	0.39750430490116334	0.0	0.0	0.0
unlabeled_rf_pathogenic_like	phyloP100way	37083	2.697393977793059	3.8044298276190016	-0.177339	2.63155	5.85688
unlabeled_inside_if_domain	mlc_score	13631	0.28687194849974323	0.28559038830972083	0.00779	0.20798	0.49674
