feature_panel	importance_type	feature_or_family	metric	mean_importance	sd_importance	min_importance	max_importance
current_all_9	family	codon_position	average_precision	0.0398800865566253	0.06500313689992225	-0.0838004644447381	0.16943067673816947
current_all_9	family	codon_position	roc_auc	-0.0004114186256561503	0.005113865819853952	-0.02424339300937739	0.0036587098607558932
current_all_9	family	mlc	average_precision	0.09362832254251291	0.08403961516200367	-0.08007065183717166	0.2739560946795122
current_all_9	family	mlc	roc_auc	0.009046261676882614	0.013026667643701053	-0.0006038647342995196	0.04070077035038511
current_all_9	family	phylogenetic_conservation	average_precision	0.7233115326723837	0.09502890723831693	0.5635695515046326	0.8972047369077178
current_all_9	family	phylogenetic_conservation	roc_auc	0.1370522534341849	0.026031544429265058	0.06649616368286448	0.19520815572605865
current_all_9	family	population_rarity	average_precision	0.6761135510340708	0.11559155297287477	0.4725341427257652	0.9153082941843025
current_all_9	family	population_rarity	roc_auc	0.1601283902538	0.05283674542508406	0.05376477688238834	0.2572153786076894
current_all_9	individual	codon_pos1_any	average_precision	0.01730216783041905	0.02861735675625067	-0.05893854597998627	0.07221221172180148
current_all_9	individual	codon_pos1_any	roc_auc	9.489330027761422e-05	0.0015146327510048572	-0.005473609383330524	0.00394288150042621
current_all_9	individual	codon_pos2_any	average_precision	0.005669711022145027	0.019030921875448144	-0.03355233692392945	0.05294671495341874
current_all_9	individual	codon_pos2_any	roc_auc	0.0005361762523315328	0.0008251548147964564	-0.00028434334458871113	0.0024154589371981894
current_all_9	individual	codon_pos3_any	average_precision	0.03632463764219581	0.03493520180567879	-0.008659780738585088	0.13924459321877802
current_all_9	individual	codon_pos3_any	roc_auc	0.00024224177142299742	0.0004324351915361491	-0.0011018304602807838	0.0009235578289287227
current_all_9	individual	het_rarity_soft	average_precision	0.011169075508009869	0.022027662575995845	-0.01436712683522856	0.06621470928086626
current_all_9	individual	het_rarity_soft	roc_auc	0.004884486073887375	0.006699844637536258	-0.0001777145903678612	0.028932225063938555
current_all_9	individual	hom_rarity_soft	average_precision	0.3264861918963316	0.09940601215231287	0.13439888559542057	0.5223826786680574
current_all_9	individual	hom_rarity_soft	roc_auc	0.02585795734877734	0.018803759513654268	0.005751002875501454	0.07111395282750788
current_all_9	individual	mlc_score	average_precision	0.11032709705117695	0.07345084846944784	-0.08192717519894466	0.21504648263571968
current_all_9	individual	mlc_score	roc_auc	0.007401694667547893	0.011734752505909498	-0.0004620579349564613	0.042919521459760634
current_all_9	individual	no_homoplasmic_signal	average_precision	0.09521304934661172	0.06624363529181979	-0.025654999596373296	0.2265803283130945
current_all_9	individual	no_homoplasmic_signal	roc_auc	0.01088722475285817	0.009505709100278417	0.0007455003727502296	0.033157016578508336
current_all_9	individual	phyloP100way	average_precision	0.7386632156953483	0.07743816755583253	0.5764176146700484	0.8884584945673393
current_all_9	individual	phyloP100way	roc_auc	0.13767459839402232	0.023936955631792343	0.08605072463768104	0.18055555555555536
current_all_9	individual	rarity_soft	average_precision	0.04031735446514527	0.04901650288997647	-0.029501070177915034	0.12905264595263244
current_all_9	individual	rarity_soft	roc_auc	0.007980781620429705	0.014863551605103434	-0.030406365444728523	0.04139302069651041
without_phyloP	family	codon_position	average_precision	0.10258942995165808	0.08071571562283951	-0.10321792653145015	0.28884902127960865
without_phyloP	family	codon_position	roc_auc	0.03529603749596019	0.022731313314465686	-0.02118854788292135	0.07163345410628019
without_phyloP	family	mlc	average_precision	0.1457575333315536	0.08474742780794398	-0.06497035566047579	0.2755232236812516
without_phyloP	family	mlc	roc_auc	0.08591138129835924	0.05044200661299952	-0.011597755044046698	0.19266837169650464
without_phyloP	family	population_rarity	average_precision	0.21288790958187814	0.08470092797225832	0.04520426241143294	0.37565560680548554
without_phyloP	family	population_rarity	roc_auc	0.1463687119069964	0.06931600459087879	0.04397556123898827	0.3471191735595869
without_phyloP	individual	codon_pos1_any	average_precision	-0.02543749136002068	0.05610773899283715	-0.1393316149104683	0.06553960069715159
without_phyloP	individual	codon_pos1_any	roc_auc	-0.006530522823810086	0.01481792182188985	-0.05759803921568629	0.011082693947144007
without_phyloP	individual	codon_pos2_any	average_precision	0.05046691357072585	0.04396419957313835	-0.037401953086848655	0.16515773413415719
without_phyloP	individual	codon_pos2_any	roc_auc	0.013066532106806443	0.010152097731407348	-0.014171950483091833	0.03482878658709876
without_phyloP	individual	codon_pos3_any	average_precision	-0.01055823193948517	0.054981529951771406	-0.10141138534941557	0.10956331759577809
without_phyloP	individual	codon_pos3_any	roc_auc	0.0018107399098731892	0.01435069041046246	-0.023532963910201987	0.048320597121023656
without_phyloP	individual	het_rarity_soft	average_precision	0.03006171576120207	0.04962375570286832	-0.08191529605141368	0.12000803435430529
without_phyloP	individual	het_rarity_soft	roc_auc	0.014188271265452817	0.024215716241845146	-0.0332326283987916	0.08288608494757421
without_phyloP	individual	hom_rarity_soft	average_precision	0.11887010772374186	0.0679632202514881	-0.023764665039099797	0.24273048836369368
without_phyloP	individual	hom_rarity_soft	roc_auc	0.08000675510602955	0.02912689983338458	0.021858894615247815	0.11658077128132216
without_phyloP	individual	mlc_score	average_precision	0.12419096906689733	0.08847527348442236	-0.015297095486011048	0.2745393096519097
without_phyloP	individual	mlc_score	roc_auc	0.08095534945312359	0.033621556430929574	0.0156827223643079	0.15394998579141816
without_phyloP	individual	no_homoplasmic_signal	average_precision	0.05418687049288816	0.06908489345012703	-0.05211846128456027	0.197499968300261
without_phyloP	individual	no_homoplasmic_signal	roc_auc	0.03696043717917401	0.024980121200879692	-0.018755328218243772	0.07775646490480248
without_phyloP	individual	rarity_soft	average_precision	-0.01949403432781612	0.0707236249767053	-0.17869814767210934	0.1436516650956405
without_phyloP	individual	rarity_soft	roc_auc	0.022605061884197943	0.031797977270202414	-0.03635620915032689	0.07660903830451926
