base_model	threshold_name	analysis_group	feature_set_baseline	feature_set_with_phyloP	n_group_baseline	n_above_threshold_baseline	n_above_threshold_with_phyloP	delta_n_above_threshold	fraction_above_threshold_baseline	fraction_above_threshold_with_phyloP	delta_fraction_above_threshold	fold_enrichment_vs_expected_baseline	fold_enrichment_vs_expected_with_phyloP	delta_fold_enrichment_vs_expected	relative_delta_fold_enrichment_percent	interpretation
isolation_forest	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloP30way	8284	396	411	15	0.04780299372283921	0.04961371318203766	0.0018107194591984524	0.9560598744567841	0.9922742636407531	0.03621438918396902	3.7878787878787805	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloP100way	8284	396	401	5	0.04780299372283921	0.04840656687590536	0.0006035731530661531	0.9560598744567841	0.9681313375181072	0.012071463061323118	1.2626262626262716	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	8284	396	380	-16	0.04780299372283921	0.045871559633027525	-0.0019314340898116816	0.9560598744567841	0.9174311926605505	-0.03862868179623358	-4.040404040404027	not_primary_target_group
isolation_forest	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_all_phyloP	8284	396	408	12	0.04780299372283921	0.04925156929019797	0.0014485755673587647	0.9560598744567841	0.9850313858039594	0.02897151134717535	3.030303030303038	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloP30way	41280	10637	16330	5693	0.2576792635658915	0.3955910852713178	0.13791182170542632	5.153585271317829	7.911821705426356	2.758236434108527	53.520729529002544	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloP100way	41280	10637	22898	12261	0.2576792635658915	0.5546996124031007	0.29702034883720924	5.153585271317829	11.093992248062014	5.9404069767441845	115.2674626304409	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	41280	10637	15146	4509	0.2576792635658915	0.36690891472868215	0.10922965116279065	5.153585271317829	7.338178294573643	2.1845930232558137	42.38977155212936	not_primary_target_group
isolation_forest	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_all_phyloP	41280	10637	24312	13675	0.2576792635658915	0.588953488372093	0.33127422480620156	5.153585271317829	11.779069767441861	6.625484496124032	128.56068440349725	not_primary_target_group
isolation_forest	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP30way	84	44	56	12	0.5238095238095238	0.6666666666666666	0.1428571428571428	10.476190476190476	13.333333333333332	2.857142857142856	27.27272727272726	better_with_phyloP
isolation_forest	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP100way	84	44	68	24	0.5238095238095238	0.8095238095238095	0.2857142857142857	10.476190476190476	16.19047619047619	5.7142857142857135	54.54545454545454	better_with_phyloP
