model_name	feature_set	base_model	threshold_name	analysis_group	n_group	n_above_threshold	fraction_above_threshold	expected_validation_neutral_fraction	fold_enrichment_vs_expected
codon_mod3_baseline__isolation_forest	codon_mod3_baseline	isolation_forest	T95	neutral_reference	8284	396	0.04780299372283921	0.05	0.9560598744567841
codon_mod3_baseline__isolation_forest	codon_mod3_baseline	isolation_forest	T95	unlabeled_or_other	41280	20935	0.5071463178294574	0.05	10.142926356589147
codon_mod3_baseline__isolation_forest	codon_mod3_baseline	isolation_forest	T95	article_pathogenic_posthoc	84	61	0.7261904761904762	0.05	14.523809523809522
codon_mod3_baseline__isolation_forest	codon_mod3_baseline	isolation_forest	T95	disease_suspected_posthoc	56	21	0.375	0.05	7.5
codon_mod3_baseline__elliptic_envelope	codon_mod3_baseline	elliptic_envelope	T95	neutral_reference	8284	397	0.047923708353452436	0.05	0.9584741670690486
codon_mod3_baseline__elliptic_envelope	codon_mod3_baseline	elliptic_envelope	T95	unlabeled_or_other	41280	2899	0.07022771317829457	0.05	1.4045542635658914
codon_mod3_baseline__elliptic_envelope	codon_mod3_baseline	elliptic_envelope	T95	article_pathogenic_posthoc	84	36	0.42857142857142855	0.05	8.571428571428571
codon_mod3_baseline__elliptic_envelope	codon_mod3_baseline	elliptic_envelope	T95	disease_suspected_posthoc	56	9	0.16071428571428573	0.05	3.2142857142857144
codon_mod3_plus_phyloP30way__isolation_forest	codon_mod3_plus_phyloP30way	isolation_forest	T95	neutral_reference	8284	418	0.05045871559633028	0.05	1.0091743119266054
codon_mod3_plus_phyloP30way__isolation_forest	codon_mod3_plus_phyloP30way	isolation_forest	T95	unlabeled_or_other	41280	23863	0.5780765503875969	0.05	11.561531007751936
codon_mod3_plus_phyloP30way__isolation_forest	codon_mod3_plus_phyloP30way	isolation_forest	T95	article_pathogenic_posthoc	84	65	0.7738095238095238	0.05	15.476190476190476
codon_mod3_plus_phyloP30way__isolation_forest	codon_mod3_plus_phyloP30way	isolation_forest	T95	disease_suspected_posthoc	56	22	0.39285714285714285	0.05	7.857142857142857
codon_mod3_plus_phyloP30way__elliptic_envelope	codon_mod3_plus_phyloP30way	elliptic_envelope	T95	neutral_reference	8284	423	0.051062288749396424	0.05	1.0212457749879285
codon_mod3_plus_phyloP30way__elliptic_envelope	codon_mod3_plus_phyloP30way	elliptic_envelope	T95	unlabeled_or_other	41280	15188	0.3679263565891473	0.05	7.358527131782946
codon_mod3_plus_phyloP30way__elliptic_envelope	codon_mod3_plus_phyloP30way	elliptic_envelope	T95	article_pathogenic_posthoc	84	33	0.39285714285714285	0.05	7.857142857142857
codon_mod3_plus_phyloP30way__elliptic_envelope	codon_mod3_plus_phyloP30way	elliptic_envelope	T95	disease_suspected_posthoc	56	17	0.30357142857142855	0.05	6.07142857142857
codon_mod3_plus_phyloP100way__isolation_forest	codon_mod3_plus_phyloP100way	isolation_forest	T95	neutral_reference	8284	429	0.05178657653307581	0.05	1.035731530661516
codon_mod3_plus_phyloP100way__isolation_forest	codon_mod3_plus_phyloP100way	isolation_forest	T95	unlabeled_or_other	41280	26937	0.6525436046511628	0.05	13.050872093023255
codon_mod3_plus_phyloP100way__isolation_forest	codon_mod3_plus_phyloP100way	isolation_forest	T95	article_pathogenic_posthoc	84	72	0.8571428571428571	0.05	17.142857142857142
codon_mod3_plus_phyloP100way__isolation_forest	codon_mod3_plus_phyloP100way	isolation_forest	T95	disease_suspected_posthoc	56	23	0.4107142857142857	0.05	8.214285714285714
codon_mod3_plus_phyloP100way__elliptic_envelope	codon_mod3_plus_phyloP100way	elliptic_envelope	T95	neutral_reference	8284	423	0.051062288749396424	0.05	1.0212457749879285
codon_mod3_plus_phyloP100way__elliptic_envelope	codon_mod3_plus_phyloP100way	elliptic_envelope	T95	unlabeled_or_other	41280	15173	0.367562984496124	0.05	7.35125968992248
codon_mod3_plus_phyloP100way__elliptic_envelope	codon_mod3_plus_phyloP100way	elliptic_envelope	T95	article_pathogenic_posthoc	84	33	0.39285714285714285	0.05	7.857142857142857
codon_mod3_plus_phyloP100way__elliptic_envelope	codon_mod3_plus_phyloP100way	elliptic_envelope	T95	disease_suspected_posthoc	56	17	0.30357142857142855	0.05	6.07142857142857
codon_mod3_plus_phyloPSSREV30way__isolation_forest	codon_mod3_plus_phyloPSSREV30way	isolation_forest	T95	neutral_reference	8284	423	0.051062288749396424	0.05	1.0212457749879285
codon_mod3_plus_phyloPSSREV30way__isolation_forest	codon_mod3_plus_phyloPSSREV30way	isolation_forest	T95	unlabeled_or_other	41280	23865	0.578125	0.05	11.5625
codon_mod3_plus_phyloPSSREV30way__isolation_forest	codon_mod3_plus_phyloPSSREV30way	isolation_forest	T95	article_pathogenic_posthoc	84	64	0.7619047619047619	0.05	15.238095238095237
codon_mod3_plus_phyloPSSREV30way__isolation_forest	codon_mod3_plus_phyloPSSREV30way	isolation_forest	T95	disease_suspected_posthoc	56	21	0.375	0.05	7.5
codon_mod3_plus_phyloPSSREV30way__elliptic_envelope	codon_mod3_plus_phyloPSSREV30way	elliptic_envelope	T95	neutral_reference	8284	426	0.05142443264123612	0.05	1.0284886528247223
codon_mod3_plus_phyloPSSREV30way__elliptic_envelope	codon_mod3_plus_phyloPSSREV30way	elliptic_envelope	T95	unlabeled_or_other	41280	15239	0.36916182170542633	0.05	7.383236434108526
codon_mod3_plus_phyloPSSREV30way__elliptic_envelope	codon_mod3_plus_phyloPSSREV30way	elliptic_envelope	T95	article_pathogenic_posthoc	84	33	0.39285714285714285	0.05	7.857142857142857
codon_mod3_plus_phyloPSSREV30way__elliptic_envelope	codon_mod3_plus_phyloPSSREV30way	elliptic_envelope	T95	disease_suspected_posthoc	56	18	0.32142857142857145	0.05	6.428571428571429
codon_mod3_plus_all_phyloP__isolation_forest	codon_mod3_plus_all_phyloP	isolation_forest	T95	neutral_reference	8284	439	0.05299372283920811	0.05	1.0598744567841623
codon_mod3_plus_all_phyloP__isolation_forest	codon_mod3_plus_all_phyloP	isolation_forest	T95	unlabeled_or_other	41280	27970	0.6775678294573644	0.05	13.551356589147288
codon_mod3_plus_all_phyloP__isolation_forest	codon_mod3_plus_all_phyloP	isolation_forest	T95	article_pathogenic_posthoc	84	75	0.8928571428571429	0.05	17.857142857142858
codon_mod3_plus_all_phyloP__isolation_forest	codon_mod3_plus_all_phyloP	isolation_forest	T95	disease_suspected_posthoc	56	23	0.4107142857142857	0.05	8.214285714285714
codon_mod3_plus_all_phyloP__elliptic_envelope	codon_mod3_plus_all_phyloP	elliptic_envelope	T95	neutral_reference	8284	411	0.04961371318203766	0.05	0.9922742636407531
codon_mod3_plus_all_phyloP__elliptic_envelope	codon_mod3_plus_all_phyloP	elliptic_envelope	T95	unlabeled_or_other	41280	10620	0.25726744186046513	0.05	5.145348837209302
codon_mod3_plus_all_phyloP__elliptic_envelope	codon_mod3_plus_all_phyloP	elliptic_envelope	T95	article_pathogenic_posthoc	84	48	0.5714285714285714	0.05	11.428571428571427
codon_mod3_plus_all_phyloP__elliptic_envelope	codon_mod3_plus_all_phyloP	elliptic_envelope	T95	disease_suspected_posthoc	56	15	0.26785714285714285	0.05	5.357142857142857
