model_name	threshold_name	analysis_group	n_group	n_above_threshold	fraction_above_threshold	expected_validation_neutral_fraction	fold_enrichment_vs_expected
isolation_forest	T90	neutral_reference	8284	802	0.09681313375181072	0.1	0.9681313375181072
isolation_forest	T90	unlabeled_or_other	41280	15496	0.3753875968992248	0.1	3.7538759689922476
isolation_forest	T90	article_pathogenic_posthoc	84	54	0.6428571428571429	0.1	6.428571428571429
isolation_forest	T90	disease_suspected_posthoc	56	18	0.32142857142857145	0.1	3.2142857142857144
isolation_forest	T95	neutral_reference	8284	404	0.04876871076774505	0.05	0.9753742153549009
isolation_forest	T95	unlabeled_or_other	41280	8300	0.2010658914728682	0.05	4.021317829457364
isolation_forest	T95	article_pathogenic_posthoc	84	40	0.47619047619047616	0.05	9.523809523809522
isolation_forest	T95	disease_suspected_posthoc	56	12	0.21428571428571427	0.05	4.285714285714286
isolation_forest	T99	neutral_reference	8284	84	0.010140028971511348	0.01	1.0140028971511348
isolation_forest	T99	unlabeled_or_other	41280	2117	0.05128391472868217	0.01	5.128391472868217
isolation_forest	T99	article_pathogenic_posthoc	84	32	0.38095238095238093	0.01	38.095238095238095
isolation_forest	T99	disease_suspected_posthoc	56	2	0.03571428571428571	0.01	3.571428571428571
elliptic_envelope	T90	neutral_reference	8284	814	0.09826170931916949	0.1	0.9826170931916948
elliptic_envelope	T90	unlabeled_or_other	41280	20877	0.5057412790697674	0.1	5.057412790697674
elliptic_envelope	T90	article_pathogenic_posthoc	84	61	0.7261904761904762	0.1	7.261904761904761
elliptic_envelope	T90	disease_suspected_posthoc	56	24	0.42857142857142855	0.1	4.285714285714286
elliptic_envelope	T95	neutral_reference	8284	437	0.052752293577981654	0.05	1.055045871559633
elliptic_envelope	T95	unlabeled_or_other	41280	15581	0.3774467054263566	0.05	7.548934108527132
elliptic_envelope	T95	article_pathogenic_posthoc	84	41	0.4880952380952381	0.05	9.761904761904761
elliptic_envelope	T95	disease_suspected_posthoc	56	19	0.3392857142857143	0.05	6.785714285714286
elliptic_envelope	T99	neutral_reference	8284	93	0.01122646064703042	0.01	1.1226460647030418
elliptic_envelope	T99	unlabeled_or_other	41280	5480	0.13275193798449614	0.01	13.275193798449614
elliptic_envelope	T99	article_pathogenic_posthoc	84	10	0.11904761904761904	0.01	11.904761904761903
elliptic_envelope	T99	disease_suspected_posthoc	56	3	0.05357142857142857	0.01	5.357142857142857
