group_column	group_name	n_variants	fraction
analysis_group	unlabeled_or_other	41280	0.8305166586190246
analysis_group	neutral_reference	8284	0.16666666666666666
analysis_group	article_pathogenic_posthoc	84	0.0016900048285852245
analysis_group	disease_suspected_posthoc	56	0.0011266698857234831
codon_position_simple	pos1	15375	0.3093312409464027
codon_position_simple	pos2	15366	0.30915016900048287
codon_position_simple	pos3	15330	0.3084258812168035
codon_position_simple	noncoding	3633	0.07309270883631096
spectrum_group_primary_T95	unlabeled_out_of_neutral_domain_T95	27649	0.5562731369708676
spectrum_group_primary_T95	expanded_neutral_like_T95	21915	0.44091018831482376
spectrum_group_primary_T95	exclude	140	0.0028166747143087076
spectrum_group_strict_T95	unlabeled_out_of_neutral_domain_T95	27649	0.5562731369708676
spectrum_group_strict_T95	strict_expanded_neutral_like_T95	21470	0.4319571865443425
spectrum_group_strict_T95	exclude	585	0.011769676484789956
spectrum_group_posthoc	unlabeled_out_of_neutral_domain_T95	27649	0.5562731369708676
spectrum_group_posthoc	unlabeled_neutral_like_T95	13631	0.2742435216481571
spectrum_group_posthoc	known_neutral_reference	8284	0.16666666666666666
spectrum_group_posthoc	article_pathogenic_posthoc	84	0.0016900048285852245
spectrum_group_posthoc	disease_suspected_posthoc	56	0.0011266698857234831
