position	functional_class	mitomap_class_loci	n_mitomap_class_loci	mitomap_all_loci	mitomap_all_descriptions	mitomap_source_revision	mitomap_source_url
1	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
3	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
4	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
5	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
6	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
7	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
8	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
9	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
10	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
11	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
12	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
